id,datetime,family,name,latitude,longitude,city,country
1,7/9/2021,Liliaceae,Trillium chloropetalum (Torr.) Howell var. giganteum (Hook. & Arn.) Munz,43.2370452,23.1251092,Berkovitsa,Bulgaria
2,11/11/2020,Apiaceae,Eryngium alismifolium Greene,39.2256483,-9.0073673,Cercal,Portugal
3,9/11/2021,Verbenaceae,Clerodendrum wallichii Merr.,-34.1998816,22.104272,Mossel Bay,South Africa
4,6/4/2021,Polygonaceae,Koenigia islandica L.,32.2821952,-90.2291565,Jackson,United States
5,12/5/2020,Lamiaceae,Salvia vaseyi (Porter) Parish,35.950284,101.968352,Magitang,China
6,4/6/2021,Fabaceae,Senna orcuttii (Britton & Rose) Irwin & Barneby,42.2497494,23.0548108,Dupnitsa,Bulgaria
7,7/8/2021,Campanulaceae,Triodanis Raf. ex Greene,39.997756,116.190434,Markog,China
8,11/15/2020,Poaceae,Panicum xerophilum (Hillebr.) Hitchc.,31.009235,121.417985,Jiangchuanlu,China
9,4/11/2021,Rosaceae,Spiraea ×arguta Zabel,24.7740708,68.488659,Kario,Pakistan
10,12/27/2020,Poaceae,Eragrostis tef (Zuccagni) Trotter,9.3172545,123.4102597,Lilio,Philippines
11,1/21/2021,Poaceae,Chloris radiata (L.) Sw.,-29.5903512,31.1366715,Ndwedwe,South Africa
12,4/30/2021,Styracaceae,Styrax benzoides Craib,44.4868448,43.9408057,Niny,Russia
13,6/24/2021,Poaceae,Panicum rigidulum Bosc ex Nees var. pubescens (Vasey) Lelong,56.67925,12.9321834,Ljungby,Sweden
14,2/5/2021,Rhamnaceae,Ceanothus greggii A. Gray var. greggii,30.6803557,104.1142719,Qiaosi,China
15,9/11/2021,Melastomataceae,Miconia laevigata (L.) D. Don,53.7667424,91.3992147,Abakan,Russia
16,7/22/2021,Aristolochiaceae,Hexastylis arifolia (Michx.) Small var. ruthii (Ashe) Blomquist,17.7409147,-91.7660525,Emiliano Zapata,Mexico
17,2/12/2021,Asteraceae,Senecio cannabifolius Less.,30.1444208,121.4305273,Hongyi,China
18,4/26/2021,Rosaceae,Rubus invisus (L.H. Bailey) Britton,49.417735,19.6808046,Chyżne,Poland
19,5/11/2021,Scrophulariaceae,Penstemon watsonii A. Gray,34.80278,113.308961,Shangjie,China
